Nepal,South Asia,Sasto Kitab,site,,main universe,,1,high,web_resolved_2026_04_19; runtime_gap_bridge_web_2026_04_25_south_asia_compact_sprint,Resolved from live web evidence: buy/sell/donate books platform. || Promoted/hardened in pass70 South Asia compact sprint based on current web evidence.,web_reverified_current_pass
Sri Lanka,South Asia,BookExchange.lk,site,,main universe,,1,high,web_resolved_2026_04_19; runtime_gap_bridge_web_2026_04_25_south_asia_compact_sprint; 2026-04-29_runtime_gap_bridge_pass112_sri_lanka_strict_core_hardening,"Resolved from live web evidence: buy/sell/exchange used books platform. || Promoted/hardened in pass70 South Asia compact sprint based on current web evidence. || Pass112 hardening: current official site exposes sell/exchange/wanted ad journeys, smart matching, real-time chat, admin-approved listings, local-first exchanges, login/register, and June 2025 launch blog; remains high strict-main.",web_reverified_current_pass
Pakistan,South Asia compact sprint,Kitabain — online book marketplace,site,https://www.kitabain.com/,main universe,,1,high,runtime_gap_bridge_web_2026_04_25_south_asia_compact_sprint; 2026-04-28_rbm_pass110_pakistan_strict_core_hardening,"Pass110 reverified strict-main candidate: official marketplace with Sell Books/Login/Sign Up, buyer FAQ showing condition/price/seller-comments per copy, checkout and Pakistan courier dispatch, plus deep active all-books pagination; used/secondhand depth remains a targeted caveat.",web_reverified_current_pass
Pakistan,South Asia compact sprint,Booksecondstory — secondhand books buy/sell platform,site,https://booksecondstory.com/about-us/,main universe,,1,high,runtime_gap_bridge_web_2026_04_25_south_asia_compact_sprint; 2026-04-28_rbm_pass110_pakistan_strict_core_hardening,"Pass110 reverified strict fit: official FAQ/terms confirm individual second-hand sellers, vendor accounts/shop URL, direct book upload, free listing, commission after sale, condition/photos/price rules, and seller-error return handling.",web_reverified_current_pass
Bangladesh,South Asia compact sprint,BookCycle — buy/sell old books platform,site,https://bookcyclebd.netlify.app/,main universe,,1,medium-high,runtime_gap_bridge_web_2026_04_25_south_asia_compact_sprint,"Bangladesh platform explicitly described as for buying and selling old books, textbooks, and second-hand educational materials; strict-main candidate, needs direct app hardening because rendered page is sparse.",web_reverified_current_pass
Bangladesh,South Asia compact sprint,Booktionary — buy/sell/exchange textbook platform,site,https://booktionary.com.bd/about-us,main universe,,1,high,runtime_gap_bridge_web_2026_04_25_south_asia_compact_sprint,"Bangladesh platform whose own about page says students can buy, sell, and exchange books, including trade-in of old textbooks; strict-main candidate.",web_reverified_current_pass
Nepal,South Asia compact sprint,Sasto Kitab — local buy/sell/donate platform,site,https://www.sastokitab.com/,main universe,,1,high,runtime_gap_bridge_web_2026_04_25_south_asia_compact_sprint,"Promotion/hardening row: Sasto Kitab describes itself as a Nepal platform for buying, selling and donating books, with buy/sell/exchange/local connections and second-hand book seller guides.",web_reverified_current_pass
Nepal,South Asia compact sprint,Sasto Kitab app surface — buy/sell/exchange locally,site,https://app.sastokitab.com/,main universe,,1,medium-high,runtime_gap_bridge_web_2026_04_25_south_asia_compact_sprint,"App surface explicitly frames Sasto Kitab as buy, sell, or exchange books locally; separate app-surface evidence row for platform mechanics.",web_reverified_current_pass
Sri Lanka,South Asia compact sprint,BookExchange.lk — buy/sell/exchange used books platform,site,https://bookexchange.lk/,main universe,,1,high,runtime_gap_bridge_web_2026_04_25_south_asia_compact_sprint; 2026-04-29_runtime_gap_bridge_pass112_sri_lanka_strict_core_hardening,"Promotion/hardening row: Sri Lanka platform for buying, selling, or exchanging used books with wanted ads, smart-match, registration/login, and local user posting flow. || Pass112 hardening: current official site exposes sell/exchange/wanted ad journeys, smart matching, real-time chat, admin-approved listings, local-first exchanges, login/register, and June 2025 launch blog; remains high strict-main.",web_reverified_current_pass
Sri Lanka,South Asia compact sprint,BookSwap.lk — used book exchange/sell platform,site,https://bookswap.lk/,main universe,,1,high,runtime_gap_bridge_web_2026_04_25_south_asia_compact_sprint; 2026-04-29_runtime_gap_bridge_pass112_sri_lanka_strict_core_hardening,"Free Sri Lanka used-book exchange/sell platform with registration/login, add-book flow, and current listings; strict-main candidate. || Pass112 hardening: current official site exposes registration/login, add-books/request/exchange flow, meet/post completion, category counts, latest dated listings, and sell/exchange language; remains high strict-main.",web_reverified_current_pass
Sri Lanka,South Asia compact sprint,2ndhandbooks.lk — used-books marketplace,site,https://2ndhandbooks.lk/about,main universe,,1,high,runtime_gap_bridge_web_2026_04_25_south_asia_compact_sprint; 2026-04-29_runtime_gap_bridge_pass112_sri_lanka_strict_core_hardening,"Sri Lanka used-books marketplace with physical stores, online inventory, buying/selling language, and auction/cart/account features; strict-main candidate, though marketplace vs curated inventory should be hardened. || Pass112 hardening: current official site/about calls it Sri Lanka's largest online marketplace for used books and says it offers a platform to buy and sell used books, but physical-store/family-legacy/curated-inventory signals remain; keep high strict-candidate with operator-mediated/curated caveat.",web_reverified_current_pass
India,South Asia dedicated sprint,BookFlow — direct buy/sell used-books marketplace,site,https://bookflow.in/,main universe,strict_candidate,1,high,runtime_gap_bridge_web_2026_04_25_india_pass71_dedicated_sprint; 2026-04-25_runtime_gap_bridge_pass85_india_active_inventory_and_saturation_hardening,India-specific used-book marketplace that says it does not stock inventory and connects buyers and sellers directly; strong strict-main candidate. Pass85 added current mechanics/active-source hardening evidence.,live_or_live_recent_surface
India,South Asia dedicated sprint,Clankart — student-to-student used-book marketplace,site,https://www.clankart.com/how-it-works,main universe,strict_candidate,1,high,runtime_gap_bridge_web_2026_04_25_india_pass71_dedicated_sprint; 2026-04-26_runtime_gap_bridge_pass95_india_seller_mechanics_conflict_cleanup,"Pass95 hardening: official site shows active used-book listings, My Ads/My Orders/My Selling Orders controls, post-ad seller flow, seller-set price, UPI/bank payout after order, payment/doorstep delivery, and student/community framing; remains high strict-candidate.",live_official_current_surface_pass95
India,South Asia dedicated sprint,BookMandee — local buy/sell/donate old-books marketplace,site,https://bookmandee.com/,main universe,strict_candidate,1,high,runtime_gap_bridge_web_2026_04_25_india_pass71_dedicated_sprint; 2026-04-25_runtime_gap_bridge_pass85_india_active_inventory_and_saturation_hardening; 2026-04-26_runtime_gap_bridge_pass95_india_seller_mechanics_conflict_cleanup,"Pass95 hardening: official site supports free book-ad posting, unlimited listings, seller-set price, platform chat, direct buyer connection, and no-middleman old/second-hand book sale flow; remains high strict-candidate.",live_official_current_surface_pass95
India,South Asia dedicated sprint,NearBook — hyper-local used-books app,app,https://play.google.com/store/apps/details?hl=en_US&id=com.show.mybook,main universe,strict_candidate,1,high,runtime_gap_bridge_web_2026_04_25_india_pass71_dedicated_sprint; 2026-04-25_runtime_gap_bridge_pass85_india_active_inventory_and_saturation_hardening; 2026-04-26_runtime_gap_bridge_pass95_india_seller_mechanics_conflict_cleanup; 2026-04-26_runtime_gap_bridge_pass97_india_active_appstore_scale_hardening,"Pass95 hardening: Google Play current listing calls NearBook India’s largest hyper-local marketplace for used books and supports buy/sell/donate nearby, photo listing, seller-set price, direct buyer connection, and commission-free operation; remains high strict-candidate. Pass97 active-scale hardening: AppBrain secondary telemetry shows 2.4M total downloads, about 280K recent downloads, Apr. 9 2026 update, and top-ranked books/reference status; remains high strict-candidate.",live_appstore_current_scale_hardened_pass97
