path,bytes,sha256
CURRENT_STATE_SNAPSHOT_2026-04-26.json,508,fc244786ffbcae080023856203578af1bb59216a82825b23f136fc3b29b89c5f
EXECUTION_ATTEMPT_REPORT_2026-04-26.md,2320,a6d7df9a4b5fbc3a4a86b1c7981a49b2d5d22b27e87d46b2dfeb6343d69f2603
README_RUN_THIS_FIRST_2026-04-26.md,668,af5755325fc7bb969591ed118a9e4e677823b5977fb0733eb73065d7a91b9e45
harvest_queue_manifest_2026-04-26.csv,1745,18215676f8f5d7b311f032bf107cefe08396edf33c6116785aa0cbab5f815c1c
master_runner_console_2026-04-26.txt,3964,6260ad148c037ca033cb1b609d8175696bb89cfbd05e6bb0a205c9ee63ea0926
network_diagnostics_2026-04-26.txt,942,d4b6132c5291459b2767b99fe81e786d2d8c3e5ef27a5b9805f4a33efefc32b9
requirements.txt,52,1bc6d05cb9624d2379011ad96b42718dd1f7cc313b3685b8f672a362b2e78986
run_first_executable_harvest_queue.py,4716,22bb28b74356c37261d582d31d4aa520490646bb6f5da6dce2dfa57004ffa890
run_first_executable_harvest_queue_selfcontained.py,4035,acd9afb5bd542bc5a04fdc538fb7e5b630618717f79cad8e218b95b67f973fd5
runs/20260426T152305Z/australia_bookpeople/australia_bookpeople_loveyourbookshop_normalized.csv,131,0f88d8cf637e5323d445ef10c8017c60b17ddbdefdd47e3312af7c0876617099
runs/20260426T152305Z/australia_bookpeople/australia_bookpeople_loveyourbookshop_raw_manifest.csv,25,9c850914809d611ff906a7149c6644c4ef6d3ef0bca3a415dbe51979fd1cdf41
runs/20260426T152305Z/first_executable_harvest_queue_results.csv,2723,9276e6f707e621ea6977d920c3ff12cf43a02af5fd203f462be96db399aba048
runs/20260426T152305Z/first_executable_harvest_queue_results.json,3963,448d91e29c0958b2b66c56e2e6aabbd893bf54ca1a36ce3fc6dd09a675a88040
runs/20260426T152305Z/logs/australia_bookpeople_profiles_smoke.stderr.txt,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runs/20260426T152305Z/logs/australia_bookpeople_profiles_smoke.stdout.txt,47,8ee608c118073db132977bf876a1b5e2f38891279963c7a75093fd4af6a3b4f3
runs/20260426T152305Z/logs/japan_kosho_profiles_smoke.stderr.txt,5086,1d55649b93304a3261b388d4915265743ee148e101135639f3a1d3979b5df96a
runs/20260426T152305Z/logs/japan_kosho_profiles_smoke.stdout.txt,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runs/20260426T152305Z/logs/mexico_sic_raw_json_csv_xml.stderr.txt,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runs/20260426T152305Z/logs/mexico_sic_raw_json_csv_xml.stdout.txt,119,bf747fc374c7ccc2c1774787d8f613078b4a7ced3dea56ac24fcb6339b6333d3
runs/20260426T152305Z/logs/new_zealand_booksellers_profiles_smoke.stderr.txt,5139,a040421fb72a28c5c6382026d00bf9cb5ce4ce4299880e6f41776e7f6a1c40d4
runs/20260426T152305Z/logs/new_zealand_booksellers_profiles_smoke.stdout.txt,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runs/20260426T152305Z/mexico_sic/download_manifest.csv,766,9ab4c57312b3e5b05273334dc62e3e34b032047203ed0fc79698d602bd1e216a
scripts/australia_bookpeople_loveyourbookshop_harvester.py,4589,52b2d4331b1737dbe0d639b3a4f84d0302586aa91d65859fcf4c7241d41e97d6
scripts/japan_ehon_kosho_harvester.py,3732,99bb66d0349152d6feaa4d4a48854a83c7667890bb3e8d0f4fb7c1d22a5dfc2d
scripts/mexico_sic_librerias_harvester.py,7424,ae57a69223f054f5a1e6e2e5c83f9ee23e188ac2e6fea7079923b53346c19aa6
scripts/new_zealand_booksellers_bookhub_harvester.py,3780,87bd88dc0587f67f09b9b84a1cdac5eb9bdc44a92bb6f9711e497b471b0ab40c
